Fighter1,Fighter2,Winner?,Fight Method,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed F1R1,Total Strike Missed F1R1,Non-Sig. Strike Landed F1R1,Non-Sig. Strike Missed F1R1,Sig. Strike Landed F1R1,Sig. Strike Missed F1R1,Head F1R1,Body F1R1,Leg F1R1,Distance F1R1,Clinch F1R1,Ground F1R1,Knockdowns F1R1,TD Completed F1R1,TD Missed F1R1,Sub. Att F1R1,Rev. F1R1,Ctrl Time (Minutes) F1R1,Winner?,Total Strike Landed F2R1,Total Strike Missed F2R1,Non-Sig. Strike Landed F2R1,Non-Sig. Strike Missed F2R1,Sig. Strike Landed F2R1,Sig. Strike Missed F2R1,Head F2R1,Body F2R1,Leg F2R1,Distance F2R1,Clinch F2R1,Ground F2R1,Knockdowns F2R1,TD Completed F2R1,TD Missed F2R1,Sub. Att F2R1,Rev. F2R1,Ctrl Time (Minutes) F2R1,Total Strike Landed F1R2,Total Strike Missed F1R2,Non-Sig. Strike Landed F1R2,Non-Sig. Strike Missed F1R2,Sig. Strike Landed F1R2,Sig. Strike Missed F1R2,Head F1R2,Body F1R2,Leg F1R2,Distance F1R2,Clinch F1R2,Ground F1R2,Knockdowns F1R2,TD Completed F1R2,TD Missed F1R2,Sub. Att F1R2,Rev. F1R2,Ctrl Time (Minutes) F1R2,Total Strike Landed F2R2,Total Strike Missed F2R2,Non-Sig. Strike Landed F2R2,Non-Sig. Strike Missed F2R2,Sig. Strike Landed F2R2,Sig. Strike Missed F2R2,Head F2R2,Body F2R2,Leg F2R2,Distance F2R2,Clinch F2R2,Ground F2R2,Knockdowns F2R2,TD Completed F2R2,TD Missed F2R2,Sub. Att F2R2,Rev. F2R2,Ctrl Time (Minutes) F2R2,Total Strike Landed F1R3,Total Strike Missed F1R3,Non-Sig. Strike Landed F1R3,Non-Sig. Strike Missed F1R3,Sig. Strike Landed F1R3,Sig. Strike Missed F1R3,Head F1R3,Body F1R3,Leg F1R3,Distance F1R3,Clinch F1R3,Ground F1R3,Knockdowns F1R3,TD Completed F1R3,TD Missed F1R3,Sub. Att F1R3,Rev. F1R3,Ctrl Time (Minutes) F1R3,Total Strike Landed F2R3,Total Strike Missed F2R3,Non-Sig. Strike Landed F2R3,Non-Sig. Strike Missed F2R3,Sig. Strike Landed F2R3,Sig. Strike Missed F2R3,Head F2R3,Body F2R3,Leg F2R3,Distance F2R3,Clinch F2R3,Ground F2R3,Knockdowns F2R3,TD Completed F2R3,TD Missed F2R3,Sub. Att F2R3,Rev. F2R3,Ctrl Time (Minutes) F2R3,Total Strike Landed F1R4,Total Strike Missed F1R4,Non-Sig. Strike Landed F1R4,Non-Sig. Strike Missed F1R4,Sig. Strike Landed F1R4,Sig. Strike Missed F1R4,Head F1R4,Body F1R4,Leg F1R4,Distance F1R4,Clinch F1R4,Ground F1R4,Knockdowns F1R4,TD Completed F1R4,TD Missed F1R4,Sub. Att F1R4,Rev. F1R4,Ctrl Time (Minutes) F1R4,Total Strike Landed F2R4,Total Strike Missed F2R4,Non-Sig. Strike Landed F2R4,Non-Sig. Strike Missed F2R4,Sig. Strike Landed F2R4,Sig. Strike Missed F2R4,Head F2R4,Body F2R4,Leg F2R4,Distance F2R4,Clinch F2R4,Ground F2R4,Knockdowns F2R4,TD Completed F2R4,TD Missed F2R4,Sub. Att F2R4,Rev. F2R4,Ctrl Time (Minutes) F2R4,Total Strike Landed F1R5,Total Strike Missed F1R5,Non-Sig. Strike Landed F1R5,Non-Sig. Strike Missed F1R5,Sig. Strike Landed F1R5,Sig. Strike Missed F1R5,Head F1R5,Body F1R5,Leg F1R5,Distance F1R5,Clinch F1R5,Ground F1R5,Knockdowns F1R5,TD Completed F1R5,TD Missed F1R5,Sub. Att F1R5,Rev. F1R5,Ctrl Time (Minutes) F1R5,Total Strike Landed F2R5,Total Strike Missed F2R5,Non-Sig. Strike Landed F2R5,Non-Sig. Strike Missed F2R5,Sig. Strike Landed F2R5,Sig. Strike Missed F2R5,Head F2R5,Body F2R5,Leg F2R5,Distance F2R5,Clinch F2R5,Ground F2R5,Knockdowns F2R5,TD Completed F2R5,TD Missed F2R5,Sub. Att F2R5,Rev. F2R5,Ctrl Time (Minutes) F2R5
Ariel Beck,Shana Dobson,0,KO/TKO,2:53,3 Rnd (5-5-5),Mark Smith,Punch to Head In Clinch,Women's Flyweight Bout,The Ultimate Fighter: A New World Champion Finale,"Las Vegas, Nevada, USA",12/1/17,2,26,33,0,0,26,33,5,13,8,25,1,0,0,0,0,0,0,0.15,0,19,37,1,0,18,37,10,4,4,17,1,0,0,0,0,0,0,0,9,34,0,0,9,34,3,3,3,9,0,0,0,0,0,0,0,0,17,24,1,0,16,24,9,5,2,14,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Emily Whitmire,1,Submission,2:12,3 Rnd (5-5-5),Chris Tognoni,Armbar On Ground,Women's Flyweight Bout,The Ultimate Fighter: A New World Champion Finale,"Las Vegas, Nevada, USA",12/1/17,1,4,4,2,0,2,4,2,0,0,2,0,0,0,1,0,1,0,0.816666667,1,13,7,4,1,9,6,7,0,2,6,2,1,0,0,0,0,1,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bisping,Kelvin Gastelum,0,KO/TKO,2:30,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,Middleweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,1,7,17,0,0,7,17,5,1,1,7,0,0,0,0,0,0,0,0,0,14,13,0,0,14,13,7,5,2,9,1,4,1,0,0,0,0,0.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li Jingliang,Zak Ottow,1,KO/TKO,2:57,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Welterweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,1,27,24,1,0,26,24,15,1,10,17,0,9,1,0,0,0,0,0.216666667,1,5,12,0,0,5,12,2,0,3,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Guan,Alex Caceres,1,Decision - Split,5:00,3 Rnd (5-5-5),Steve Perceval,Christopher Shen 28 - 29. Kon Papaioannou 29 - 28. Paul Sutherland 28 - 29.,Featherweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,3,37,37,4,1,33,36,17,6,10,23,2,8,1,0,1,0,0,0.2,1,16,21,0,0,16,21,5,8,3,13,3,0,0,0,0,0,0,0.183333333,21,27,0,0,21,27,8,3,10,21,0,0,0,0,1,0,0,0.016666667,10,20,0,0,10,20,5,5,0,10,0,0,0,0,0,0,0,0,17,30,0,0,17,30,5,2,10,17,0,0,0,0,1,0,0,0.183333333,23,34,0,1,23,33,12,8,3,20,3,0,0,0,0,0,0,0.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muslim Salikhov,Alex Garcia,0,Submission,3:22,3 Rnd (5-5-5),John Sharp,Rear Naked Choke,Welterweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,2,7,7,0,0,7,7,2,2,3,7,0,0,0,0,0,0,0,0,0,12,10,10,0,2,10,2,0,0,0,0,2,0,2,2,0,0,2.2,3,10,0,0,3,10,2,1,0,3,0,0,0,0,0,0,0,0,9,8,5,0,4,8,4,0,0,4,0,0,0,1,2,1,0,0.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zabit Magomedsharipov,Sheymon Moraes,1,Submission,4:30,3 Rnd (5-5-5),Marc Goddard,Anaconda Choke On Ground,Featherweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,3,21,17,8,1,13,16,10,0,3,9,0,4,0,3,0,0,0,2.433333333,1,10,10,2,0,8,10,2,3,3,8,0,0,0,0,0,0,0,0,31,13,15,1,16,12,15,1,0,0,0,16,0,3,2,0,1,4.35,4,1,2,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0.133333333,8,11,3,3,5,8,3,0,2,5,0,0,0,5,2,1,0,3.083333333,9,4,1,1,8,3,5,3,0,7,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Kenan,Bobby Nash,1,KO/TKO,0:15,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Welterweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,1,15,0,1,0,14,0,13,1,0,2,0,12,1,0,0,0,0,0.1,1,1,2,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kailin Curran,Yan Xiaonan,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Thomas Fan,Barry Foley 28 - 29. Kon Papaioannou 28 - 29. Albert Shen 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,3,45,25,29,5,16,20,7,7,2,8,8,0,0,0,3,0,0,2.733333333,0,38,38,6,0,32,38,26,4,2,21,11,0,0,0,0,0,0,0.033333333,42,31,27,4,15,27,9,3,3,14,1,0,0,1,0,0,0,2.233333333,30,36,1,0,29,36,24,1,4,29,0,0,0,0,0,0,0,0,52,38,31,3,21,35,17,2,2,12,4,5,0,1,1,0,0,2.75,38,42,3,1,35,41,30,0,5,26,7,2,0,0,0,0,0,0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Yadong,Bharat Kandare,1,Submission,4:16,3 Rnd (5-5-5),John Sharp,Guillotine Choke From Front Headlock,Featherweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,1,9,21,1,0,8,21,6,1,1,7,0,1,1,0,0,1,0,0.133333333,1,3,27,0,0,3,27,1,0,2,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Sherman,Shamil Abdurakhimov,0,KO/TKO,1:24,3 Rnd (5-5-5),Steve Perceval,Punches to Head At Distance,Heavyweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,1,5,8,0,0,5,8,4,0,1,5,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,5,1,0,6,0,0,1,0,0,0,0,0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu Yanan,Gina Mazany,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Marc Goddard,Evan Field 27 - 30. Kon Papaioannou 27 - 30. Christopher Shen 27 - 30.,Women's Bantamweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,3,18,8,8,2,10,6,2,6,2,3,6,1,0,1,1,0,0,2.133333333,0,61,14,42,3,19,11,10,6,3,5,10,4,0,2,1,0,0,2.166666667,18,9,10,0,8,9,3,5,0,2,6,0,0,0,0,0,0,1.783333333,81,20,71,15,10,5,7,3,0,4,6,0,0,2,1,0,0,2.55,5,14,1,0,4,14,2,1,1,4,0,0,0,0,0,0,0,0.05,60,19,51,8,9,11,6,2,1,4,1,4,0,1,0,0,0,3.483333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wulijiburen,Rolando Dy,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Herb Dean,Albert Shen 27 - 30. Charlie Keech 28 - 29. Paul Sutherland 27 - 30.,Featherweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,3,7,21,0,0,7,21,5,1,1,5,2,0,0,2,1,0,0,1.05,0,8,33,2,1,6,32,1,2,3,6,0,0,1,0,1,0,0,0.1,6,14,0,0,6,14,4,0,2,6,0,0,0,1,1,0,0,0.15,15,24,4,0,11,24,4,5,2,6,0,5,0,0,0,0,1,1.533333333,24,9,20,1,4,8,2,2,0,3,1,0,0,1,5,0,0,2.183333333,12,17,3,0,9,17,6,3,0,4,5,0,0,0,0,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril Asker,Hu Yaozong,1,Submission,2:33,3 Rnd (5-5-5),Thomas Fan,Rear Naked Choke,Heavyweight Bout,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",11/25/17,2,52,12,38,8,14,4,13,1,0,2,0,12,0,3,0,0,0,4.233333333,1,7,5,3,1,4,4,4,0,0,1,1,2,0,0,0,1,0,0.233333333,39,16,33,5,6,11,6,0,0,1,1,4,0,1,0,1,0,1.933333333,4,6,0,0,4,6,2,0,2,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabricio Werdum,Marcin Tybura,1,Decision - Unanimous,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,Anthony Dimitriou 45 - 50. Kon Papaioannou 45 - 50. Charlie Keech 46 - 49.,Heavyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,5,21,22,1,1,20,21,13,4,3,20,0,0,0,0,4,0,0,1.033333333,1,17,21,0,1,17,20,8,3,6,16,1,0,0,0,0,0,0,0.283333333,32,22,0,0,32,22,19,8,5,30,2,0,0,0,0,0,0,0,31,22,3,0,28,22,17,4,7,25,3,0,0,0,0,0,0,0,46,17,1,0,45,17,31,11,3,39,6,0,0,0,1,0,0,0.466666667,28,23,2,0,26,23,16,3,7,24,2,0,0,0,0,0,0,0,42,15,22,0,20,15,15,2,3,12,5,3,0,1,1,0,0,2.516666667,38,35,0,0,38,35,26,7,5,36,2,0,0,0,0,0,0,0,38,35,0,0,38,35,26,7,5,36,2,0,0,0,0,0,0,0,43,52,1,0,42,52,33,2,7,41,1,0,0,0,0,0,0,0
Bec Rawlings,Jessica-Rose Clark,0,Decision - Split,5:00,3 Rnd (5-5-5),John Sharp,Charlie Keech 28 - 29. Evan Field 29 - 28. Storm Oshyer 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,32,35,11,0,21,35,19,2,0,19,0,2,0,1,0,1,0,0.816666667,0,31,25,2,0,29,25,20,2,7,29,0,0,0,0,0,0,1,1.633333333,11,14,0,0,11,14,7,4,0,8,3,0,0,0,1,0,0,0.816666667,29,12,3,0,26,12,16,7,3,19,4,3,0,1,0,1,0,2.633333333,38,32,5,1,33,31,32,1,0,32,0,1,0,1,0,0,0,0.733333333,48,36,2,0,46,36,25,7,14,38,4,4,0,1,1,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Means,Belal Muhammad,0,Decision - Split,5:00,3 Rnd (5-5-5),Steve Perceval,Kevin Manderson 28 - 29. Charlie Keech 29 - 28. Evan Field 28 - 29.,Welterweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,21,50,1,0,20,50,10,8,2,20,0,0,0,0,0,0,0,0,0,31,47,0,0,31,47,24,4,3,31,0,0,0,0,1,0,0,0,35,36,1,0,34,36,18,8,8,34,0,0,0,0,0,0,0,0,24,34,2,1,22,33,16,4,2,22,0,0,0,1,1,0,0,0.35,37,57,0,0,37,57,21,13,3,36,1,0,0,0,1,0,0,0,35,53,0,0,35,53,32,2,1,35,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Matthews,Bojan Velickovic,1,Decision - Split,5:00,3 Rnd (5-5-5),Jim Perdios,Storm Oshyer 28 - 29. Kon Papaioannou 29 - 28. Anthony Dimitriou 28 - 29.,Welterweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,6,6,6,3,0,3,0,0,0,0,0,0,0,2,5,0,0,4.55,1,59,14,51,10,8,4,7,1,0,0,7,1,0,0,0,0,0,0,8,9,0,0,8,9,8,0,0,7,1,0,0,0,2,0,0,0.166666667,29,21,19,6,10,15,9,1,0,5,2,3,0,0,0,1,1,2.75,36,4,24,2,12,2,10,1,1,4,0,8,0,2,0,0,1,2.4,25,15,19,10,6,5,4,0,2,4,0,2,0,1,0,0,1,1.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Theodorou,Daniel Kelly,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Leon Roberts,Chris Aliendi 28 - 30. Evan Field 27 - 30. Charlie Keech 26 - 30.,Middleweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,34,54,0,0,34,54,11,10,13,33,1,0,0,0,0,0,0,0,1,15,29,2,0,13,29,11,2,0,5,8,0,0,0,0,0,0,0,49,44,4,0,45,44,23,14,8,38,7,0,0,0,0,0,0,0,23,30,7,1,16,29,16,0,0,10,6,0,0,1,4,0,0,0.333333333,45,35,6,1,39,34,15,9,15,34,5,0,0,0,0,0,1,0.9,16,20,3,0,13,20,10,2,1,10,3,0,0,1,1,1,0,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Volkanovski,Shane Young,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),John Sharp,Anthony Dimitriou 27 - 30. Kevin Manderson 26 - 30. Kon Papaioannou 26 - 30.,Catch Weight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,21,19,1,0,20,19,6,5,9,16,4,0,0,1,4,0,0,1.85,1,8,26,1,0,7,26,3,4,0,5,2,0,0,0,0,0,0,0,32,18,3,0,29,18,17,4,8,18,4,7,0,3,2,0,0,2.516666667,8,33,0,0,8,33,7,0,1,8,0,0,0,0,0,0,0,0,26,12,7,3,19,9,13,2,4,6,6,7,0,1,3,0,0,4,4,4,1,0,3,4,1,1,1,2,1,0,0,1,0,0,0,0.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Benoit,Ashkan Mokhtarian,1,KO/TKO,2:38,3 Rnd (5-5-5),Steve Perceval,Kick to Head At Distance,Flyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,11,14,0,0,11,14,10,1,0,11,0,0,0,0,0,0,0,0,1,15,15,1,0,14,15,5,3,6,13,1,0,0,0,2,0,0,0.366666667,22,21,1,0,21,21,18,3,0,17,1,3,0,0,1,0,0,0.033333333,20,32,0,0,20,32,11,6,3,20,0,0,0,0,1,0,0,0,14,13,1,0,13,13,12,0,1,12,0,1,1,0,0,0,0,0,8,12,0,0,8,12,4,2,2,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Lentz,Will Brooks,1,Submission,2:05,3 Rnd (5-5-5),Jim Perdios,Guillotine Choke After Drop to Guard,Lightweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,2,28,29,5,0,23,29,11,3,9,15,8,0,0,0,1,0,0,0.766666667,1,26,17,0,0,26,17,19,2,5,22,4,0,0,1,2,1,0,0.55,12,19,1,0,11,19,4,4,3,10,1,0,0,0,1,1,1,0,23,12,0,0,23,12,23,0,0,20,3,0,0,1,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Coulter,Tai Tuivasa,0,KO/TKO,4:35,3 Rnd (5-5-5),John Sharp,Flying Knee Head,Heavyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,1,19,9,9,0,10,9,2,7,1,3,7,0,0,0,2,0,0,0.633333333,0,22,14,0,0,22,14,16,3,3,14,6,2,1,0,2,0,0,1.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Brown,Frank Camacho,0,Decision - Split,5:00,3 Rnd (5-5-5),John Sharp,Kevin Manderson 29 - 28. Evan Field 27 - 30. Chris Aliendi 28 - 29.,Lightweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,15,7,8,0,7,7,3,2,2,4,2,1,0,2,3,1,0,2.166666667,0,51,11,30,2,21,9,19,2,0,4,16,1,0,1,4,0,1,1.75,45,64,2,0,43,64,27,8,8,41,2,0,0,0,1,0,0,0,73,57,20,0,53,57,46,7,0,50,3,0,0,0,0,0,0,0.466666667,55,77,1,1,54,76,42,9,3,54,0,0,0,0,1,0,0,0.033333333,88,80,8,1,80,79,72,8,0,76,4,0,0,0,0,0,0,0.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Chambers,Nadia Kassem,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jim Perdios,Kon Papaioannou 28 - 29. Anthony Dimitriou 27 - 29. Storm Oshyer 27 - 29.,Women's Strawweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,39,9,18,2,21,7,13,7,1,10,2,9,0,1,1,0,0,2.833333333,0,26,12,11,5,15,7,7,4,4,10,3,2,0,0,1,1,0,0,10,10,4,2,6,8,5,1,0,6,0,0,0,2,1,0,0,2.966666667,64,24,46,6,18,18,9,5,4,13,3,2,0,0,0,5,1,0.95,30,10,12,0,18,10,10,2,6,13,0,5,0,1,1,0,0,1.916666667,44,34,25,6,19,28,9,8,2,13,5,1,0,0,0,0,1,0.516666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenel Lausa,Eric Shelton,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Steve Perceval,Evan Field 27 - 30. Chris Aliendi 26 - 30. Charlie Keech 25 - 30.,Flyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,4,9,2,0,2,9,2,0,0,0,0,2,0,1,0,0,0,1.166666667,0,34,9,19,2,15,7,12,2,1,4,0,11,0,2,1,0,0,1.5,9,4,8,0,1,4,1,0,0,1,0,0,0,0,1,2,0,0.016666667,64,16,29,5,35,11,30,3,2,2,0,33,0,2,0,0,0,3.85,7,13,5,1,2,12,1,0,1,1,0,1,0,0,0,0,0,0,86,16,50,4,36,12,29,6,1,10,0,26,0,1,1,0,0,3.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hamilton,Adam Wieczorek,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Leon Roberts,Charlie Keech 28 - 29. Storm Oshyer 28 - 29. Anthony Dimitriou 28 - 29.,Heavyweight Bout,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",11/18/17,3,27,11,8,4,19,7,2,16,1,2,2,15,0,1,1,0,0,4.2,0,19,7,8,1,11,6,3,6,2,5,4,2,0,0,0,0,0,0,7,3,3,0,4,3,1,0,3,4,0,0,0,1,0,0,0,0.733333333,28,21,18,2,10,19,6,3,1,6,1,3,0,0,0,0,0,2.183333333,10,17,1,2,9,15,3,5,1,5,4,0,0,0,6,0,0,2.05,26,28,5,0,21,28,14,6,1,15,6,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Poirier,Anthony Pettis,1,KO/TKO,2:08,5 Rnd (5-5-5-5-5),Keith Peterson,to Injury,Lightweight Bout,UFC Fight Night: Poirier vs. Pettis,"Norfolk, Virginia, USA",11/11/17,3,39,31,6,1,33,30,28,5,0,21,8,4,0,1,1,0,0,1.85,1,21,12,3,0,18,12,14,2,2,17,1,0,0,0,0,1,1,0.566666667,29,12,10,0,19,12,18,0,1,3,0,16,0,3,0,0,0,3.4,23,7,8,0,15,7,15,0,0,5,0,10,0,1,0,2,1,1.033333333,3,5,2,0,1,5,1,0,0,1,0,0,0,1,0,0,0,1.6,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
